date,ADS_Index
1960:03:01,-0.561067
1960:03:02,-0.608064
1960:03:03,-0.652102
1960:03:04,-0.693196
1960:03:05,-0.731357
1960:03:06,-0.766598
1960:03:07,-0.798929
1960:03:08,-0.828359
1960:03:09,-0.854898
1960:03:10,-0.878553
1960:03:11,-0.899332
1960:03:12,-0.917241
1960:03:13,-0.932285
1960:03:14,-0.944469
1960:03:15,-0.953797
1960:03:16,-0.96027
1960:03:17,-0.963893
1960:03:18,-0.964665
1960:03:19,-0.962586
1960:03:20,-0.957656
1960:03:21,-0.949874
1960:03:22,-0.939237
1960:03:23,-0.925742
1960:03:24,-0.909385
1960:03:25,-0.890161
1960:03:26,-0.868065
1960:03:27,-0.843088
1960:03:28,-0.815225
1960:03:29,-0.784466
1960:03:30,-0.750802
1960:03:31,-0.714224
1960:04:01,-0.674719
1960:04:02,-0.638508
1960:04:03,-0.605579
1960:04:04,-0.575922
1960:04:05,-0.549528
1960:04:06,-0.52639
1960:04:07,-0.506501
1960:04:08,-0.489853
1960:04:09,-0.476443
1960:04:10,-0.466266
1960:04:11,-0.45932
1960:04:12,-0.455602
1960:04:13,-0.45511
1960:04:14,-0.457846
1960:04:15,-0.463809
1960:04:16,-0.473002
1960:04:17,-0.485427
1960:04:18,-0.501087
1960:04:19,-0.519989
1960:04:20,-0.542137
1960:04:21,-0.567539
1960:04:22,-0.596201
1960:04:23,-0.628132
1960:04:24,-0.663343
1960:04:25,-0.701843
1960:04:26,-0.743645
1960:04:27,-0.78876
1960:04:28,-0.837204
1960:04:29,-0.888989
1960:04:30,-0.944132
1960:05:01,-1.00265
1960:05:02,-1.05898
1960:05:03,-1.11314
1960:05:04,-1.16515
1960:05:05,-1.21502
1960:05:06,-1.26277
1960:05:07,-1.30841
1960:05:08,-1.35196
1960:05:09,-1.39342
1960:05:10,-1.43282
1960:05:11,-1.47016
1960:05:12,-1.50546
1960:05:13,-1.53872
1960:05:14,-1.56995
1960:05:15,-1.59917
1960:05:16,-1.62639
1960:05:17,-1.6516
1960:05:18,-1.67483
1960:05:19,-1.69607
1960:05:20,-1.71534
1960:05:21,-1.73263
1960:05:22,-1.74796
1960:05:23,-1.76132
1960:05:24,-1.77273
1960:05:25,-1.78219
1960:05:26,-1.78969
1960:05:27,-1.79524
1960:05:28,-1.79885
1960:05:29,-1.80051
1960:05:30,-1.80023
1960:05:31,-1.798
1960:06:01,-1.79382
1960:06:02,-1.78883
1960:06:03,-1.78302
1960:06:04,-1.7764
1960:06:05,-1.76897
1960:06:06,-1.76071
1960:06:07,-1.75163
1960:06:08,-1.74172
1960:06:09,-1.73099
1960:06:10,-1.71942
1960:06:11,-1.70702
1960:06:12,-1.69378
1960:06:13,-1.67969
1960:06:14,-1.66476
1960:06:15,-1.64898
1960:06:16,-1.63234
1960:06:17,-1.61484
1960:06:18,-1.59647
1960:06:19,-1.57723
1960:06:20,-1.55711
1960:06:21,-1.53611
1960:06:22,-1.51422
1960:06:23,-1.49143
1960:06:24,-1.46773
1960:06:25,-1.44313
1960:06:26,-1.41761
1960:06:27,-1.39116
1960:06:28,-1.36377
1960:06:29,-1.33544
1960:06:30,-1.30617
1960:07:01,-1.27593
1960:07:02,-1.24659
1960:07:03,-1.21814
1960:07:04,-1.19057
1960:07:05,-1.16388
1960:07:06,-1.13804
1960:07:07,-1.11307
1960:07:08,-1.08895
1960:07:09,-1.06567
1960:07:10,-1.04322
1960:07:11,-1.0216
1960:07:12,-1.00081
1960:07:13,-0.980826
1960:07:14,-0.961656
1960:07:15,-0.943289
1960:07:16,-0.925721
1960:07:17,-0.908945
1960:07:18,-0.892958
1960:07:19,-0.877753
1960:07:20,-0.863328
1960:07:21,-0.849676
1960:07:22,-0.836795
1960:07:23,-0.824679
1960:07:24,-0.813326
1960:07:25,-0.802732
1960:07:26,-0.792894
1960:07:27,-0.783809
1960:07:28,-0.775474
1960:07:29,-0.767887
1960:07:30,-0.761045
1960:07:31,-0.754947
1960:08:01,-0.74959
1960:08:02,-0.745078
1960:08:03,-0.741411
