date,GDP,OUTBS,OUTNFB,GPDIC1,INDPRO,CMRMTSPLx,IPMAT,FPIx,IPFINAL,IPDMAT,WEI_lag_1,WEI_lag_2,WEI_lag_3,WEI_lag_4,WEI_lag_5,WEI_lag_6,WEI_lag_7,WEI_lag_8,WEI_lag_9,WEI_lag_10,WEI_lag_11,WEI_lag_12,WEI_lag_13,WEI_lag_14
2008-06-01,0.005150584,-0.018302522,0.004711823,0.004274746,-0.014849413,-0.007065573,-0.00895033,-0.008159616,-0.017298924,-0.013798889,0.41,0.41,0.45,0.52,0.48,0.46,0.99,0.85,1.06,0.96,0.73,0.66,0.52,0.95
2008-09-01,-0.005428262,-0.020253375,-0.008530602,-0.008858866,-0.033497532,-0.033726602,-0.03640055,-0.025631178,-0.032413047,-0.032838594,0.06,0.01,-0.03,0.09,0.25,0.16,0.11,0.3,0.87,0.51,0.14,0.34,0.51,0.41
2008-12-01,-0.021875649,-0.101146375,-0.031258485,-0.030009532,-0.043714974,-0.048669972,-0.045027845,-0.06842279,-0.034821623,-0.101096466,-2.56,-1.26,-2.13,-1.69,-1.09,-1.01,-0.93,-0.97,-0.88,-0.86,-0.75,-0.38,-0.03,0.06
2009-03-01,-0.011290448,-0.122799233,-0.016701308,-0.015773692,-0.057787844,-0.03717434,-0.059465897,-0.083032324,-0.048380513,-0.129250109,-3.93,-3.71,-3.61,-3.25,-3.29,-2.95,-3.3,-3.28,-3.16,-2.86,-2.97,-2.41,-2.55,-2.56
2009-06-01,-0.001440935,-0.059387275,-0.002129275,-0.002200604,-0.028909646,-0.019932978,-0.027511819,-0.03704578,-0.031020733,-0.058406864,-3.49,-3.34,-3.45,-3.54,-3.37,-3.42,-3.74,-3.44,-3.4,-3.62,-3.23,-3.51,-3.57,-3.93
2009-09-01,0.003634498,-0.002285379,0.003589845,0.004352943,0.014913626,0.014528126,0.021065241,0.003644093,0.012532206,0.039936486,-2.58,-2.66,-2.75,-3.05,-3.11,-3.41,-3.37,-3.56,-3.28,-3.69,-3.5,-3.69,-3.76,-3.49
2009-12-01,0.010923957,0.088435228,0.014081541,0.013524942,0.015572945,0.012004761,0.022273837,0.005027566,0.010665582,0.039628194,1.31,0.79,0.44,-0.04,-0.4,-0.72,-0.95,-1.05,-1.32,-1.59,-1.68,-2.26,-2.08,-2.58
2010-03-01,0.003840414,0.022499033,0.004682193,0.004030604,0.019471448,0.010475725,0.02998149,-0.000388426,0.010642845,0.049932315,3.4,3.13,2.56,2.58,2.25,1.88,1.95,1.8,1.84,2.37,2.13,1.21,1.04,1.31
2010-06-01,0.009178036,0.051149405,0.011171875,0.011510171,0.01944893,0.020580127,0.024390441,0.035791111,0.013052623,0.049300143,4.63,3.87,4.17,4.32,4.14,3.92,3.87,3.7,3.69,3.96,3.44,3.5,3.52,3.4
2010-09-01,0.007345072,0.043630948,0.010975258,0.010878509,0.01297693,0.014064542,0.018364169,0.005394223,0.010309241,0.023404102,3.58,3.71,3.6,3.69,3.79,4.08,3.72,3.62,4.47,4.12,4.2,4.04,4.13,4.63
2010-12-01,0.005006472,-0.003190725,0.007644835,0.007017937,0.003313446,0.007709178,0.008090102,0.018739179,-0.002313848,0.018296152,3.24,3.07,3.19,3.31,3.27,3.49,3.23,3.03,3.32,3.59,3.37,3.58,3.82,3.58
2011-03-01,-0.002407308,-0.019031809,-0.005389054,-0.005256227,0.005596425,0.008513505,0.006339785,-0.001788147,0.006851563,0.025544638,2.82,2.97,3.13,2.73,3.04,2.92,3.04,3.05,3.35,3.91,3.04,3.17,3.45,3.24
2011-06-01,0.007124295,0.040097086,0.010274383,0.009247422,0.004006675,-0.002781985,0.007063001,0.023062833,0.000558837,0.010566107,2.19,2.32,2.43,2.06,2.24,2.69,2.82,2.88,2.76,2.58,2.83,2.78,2.75,2.82
2011-09-01,-0.000277825,0.003303105,-2.07e-05,0.000175412,0.011624079,0.011355483,0.010480002,0.041136891,0.014422231,0.01405751,2.18,1.96,2.02,2.5,2.46,2.1,2.11,2.2,2.4,1.98,2.26,2.27,2.36,2.19
2011-12-01,0.011526168,0.074247328,0.014117737,0.014859693,0.009871726,0.011157878,0.016301861,0.025284167,0.005778586,0.017079318,2.06,2.03,2.13,2.08,2.22,1.82,2.13,2.32,2.24,1.94,2.02,1.96,2.05,2.18
2012-03-01,0.007799433,0.020671955,0.011730132,0.011039336,0.0094855,0.012587353,0.014164074,0.030785598,0.00303587,0.021911697,1.84,1.65,1.76,1.73,1.46,1.98,1.63,1.59,1.85,2.28,2.26,1.73,1.88,2.06
2012-06-01,0.004292788,0.02276353,0.006078924,0.005604278,0.0063447,0.004924475,0.006387338,0.020003577,0.005305918,0.005414444,2.35,2.15,2.19,2.6,2.45,2.04,2.05,2.24,2.23,2.01,1.64,1.91,1.76,1.84
2012-09-01,0.001348572,0.004527578,0.002337453,0.001578359,0.000101972,0.000957747,0.002231414,0.001477112,-0.000864719,-0.005600047,2.24,1.81,2.01,2.26,2.13,1.9,1.83,1.96,2.22,2.26,2.15,2.01,2.03,2.06
2012-12-01,0.001138085,-0.008933257,0.00169473,0.00142637,0.005230613,0.010287286,0.010621044,0.017775699,-0.00062554,0.007574635,2.0,2.3,2.04,1.56,1.45,1.97,2.04,2.11,2.15,2.17,2.05,2.12,2.34,2.24
2013-03-01,0.00881776,0.036607978,0.010088783,0.011958985,0.007796949,0.012490628,0.009803271,0.016974239,0.004078941,0.011027973,2.07,2.13,1.98,2.23,2.42,2.2,2.36,2.25,2.1,2.27,2.02,1.66,2.0,2.3
2013-06-01,0.001233204,0.011124628,6.9e-05,0.001564768,0.004290994,0.002847218,0.007293057,0.008034614,6.97e-06,0.000528729,2.1,1.71,2.07,1.7,1.57,1.67,1.92,1.62,1.78,1.7,1.93,1.95,1.88,2.08
2013-09-01,0.007803624,0.037957248,0.009948281,0.010175018,0.003561164,0.00562677,0.009788158,0.017095505,-0.005482294,0.008258851,2.63,2.4,2.15,2.11,2.14,2.13,2.38,2.19,2.26,2.32,2.15,2.2,1.82,2.1
2013-12-01,0.007950798,0.003621722,0.011212349,0.010496446,0.00682103,0.015996775,0.007909866,0.013433129,0.005518131,0.016331217,2.4,3.34,2.41,2.45,3.01,2.48,2.08,2.06,2.25,2.3,2.36,2.74,2.7,2.63
2014-03-01,-0.002831056,-0.011155578,-0.004780207,-0.004953684,0.007674541,-0.000591507,0.014732833,0.009968736,0.000581183,0.005988552,2.12,1.94,1.81,1.72,1.93,2.06,1.68,1.5,2.08,2.49,2.66,2.13,1.88,2.4
2014-06-01,0.013446009,0.041335651,0.016994143,0.017017481,0.013285334,0.01131211,0.020409328,0.027438593,0.006353025,0.018627176,2.53,2.62,2.19,2.74,2.58,2.4,2.19,2.52,2.67,2.56,2.5,2.54,2.38,2.12
2014-09-01,0.01213539,0.020250832,0.015771899,0.015571535,0.005910885,0.008204363,0.009633985,0.018957461,0.001450193,0.010168803,2.6,2.5,2.4,2.48,2.75,2.37,2.15,2.42,2.86,2.08,2.29,2.38,2.38,2.53
2014-12-01,0.00561216,0.001084358,0.006763894,0.006863253,0.006540306,0.005530456,0.005473744,0.011603344,0.01036355,-0.00482491,2.76,2.6,2.5,2.61,2.48,2.63,2.7,2.86,2.68,2.53,2.49,2.33,2.32,2.6
2015-03-01,0.009446788,0.034290155,0.011144811,0.011730665,-0.007672118,0.005589327,-0.010156572,0.002858399,-0.00426381,-0.013830347,2.13,2.52,2.94,2.5,2.59,2.58,2.8,2.81,2.44,3.22,3.14,2.97,2.96,2.76
2015-06-01,0.006743344,0.003005768,0.008364715,0.00810663,-0.013518341,0.003834025,-0.016760332,0.008608489,-0.013213739,-0.011906555,1.63,1.85,2.12,2.04,2.17,2.3,2.21,1.92,2.28,2.42,2.21,2.23,2.08,2.13
2015-09-01,0.003619486,-0.002021369,0.003541442,0.00359711,-0.00017868,0.004473395,-0.004241611,0.008342255,0.005068499,-0.002679542,1.45,1.75,2.12,1.88,1.81,1.73,2.03,1.65,1.81,1.86,1.99,1.98,2.06,1.63
